Referentiecode	Referentienummer	Omschrijving	D/C	Niveau	ReferentieOmslagcode	
BLasFlvVle	0804070	Voorwaardelijke lease betalingen	D	4		
BLasFlvTot	0804080	Te ontvangen toekomstige minimale sublease betalingen met betrekking tot niet tussentijds opzegbare subleases	D	4		
BLasFlvOrb	0804090	Onverdiende rentebaten	D	4		
BLasFlvGrv	0804100	Gegarandeerde restwaarde van de leaseobjecten die de lessor economisch toekomen	C	4		
BLasSakHvl	0805010	Hypotheken van kredietinstellingen (langlopend)	C	4		
BLasSakFvl	0805020	Financieringen van kredietinstellingen (langlopend)	C	4		
BLasSakLvl	0805030	Leningen van kredietinstellingen (langlopend)	C	4		
BLasOlsSgl	0806010	Schulden aan groepsmaatschappijen (langlopend)	C	4		
BLasOlsSvm	0806020	Schulden aan overige verbonden maatschappijen (langlopend)	C	4		
BLasOlsSpl	0806030	Schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)	C	4		
BLasOlsBep	0806040	Belastingen en premies sociale verzekeringen (langlopend)	C	4		
BLasOlsStz	0806050	Schulden ter zake van pensioenen (langlopend)	C	4		
BLasOlsVbe	0806060	Vooruitontvangen op bestellingen (langlopend)	C	4		
BLasOlsSll	0806070	Schulden aan leveranciers en handelskredieten (langlopend)	C	4		
BLasOlsTwl	0806080	Te betalen wissels en cheques (langlopend)	C	4		
BLasOlsGvl	0806090	Giftenverplichtingen (langlopend)	C	4		
BLasOlsSvl	0806100	Subsidieverplichtingen (langlopend)	C	4		
BLasOlsVvn	0806110	Verplichtingen uit hoofde van onroerende zaken verkocht onder voorwaarden (langlopend)	C	4		
BLasOlsVod	0806120	Verplichtingen aan overheid (langlopend)	C	4		
BLasOlsOsl	0806130	Overige schulden (langlopend)	C	4		
BLasOlsOlp	0806140	Overlopende passiva (langlopend)	C	4		
BLimKasKas	1001010	Kas	D	4		
BLimKasKlk	1001020	Kleine kas	D	4		
BLimBanRba	1002010	Rekening-courant bank	D	4		
BLimBanDrk	1002020	Depotrekening	D	4		
BLimBanDep	1002030	Depositorekening	D	4		
BLimBanBel	1002040	Beleggingsrekening	D	4		
BLimBanInb	1002050	Internetrekening	D	4		
BLimKruSto	1003010	Stortingen onderweg	D	4		
BLimKruPIb	1003020	PIN betalingen	D	4		
BLimKruCra	1003030	Creditcard afrekening	D	4		
BLimKruWec	1003040	Wissels en cheques	D	4		
BVorDebHad	1101010	Handelsdebiteuren	D	4		
BVorDebHdi	1101020	Handelsdebiteuren intercompany	D	4		
BVorDebVdd	1101030	Voorziening dubieuze debiteuren	D	4		
BVorDebHdb	1101040	Huurdebiteuren	D	4		
BVorDebGet	1101050	Gefactureerde termijnen	D	4		
BVorBtwTtv	1102010	Terug te vorderen omzetbelasting	D	4		
BVorOvrWbs	1103010	Waarborgsom	D	4		
BVorOvrTvd	1103020	Te vorderen dividend	D	4		
BVorOvrInd	1103030	Ingehouden dividendbelasting	D	4		
BVorOvrTvs	1103040	Te vorderen overheidssubsidies	D	4		
BVorOvrTvl	1103050	Te vorderen loonsubsidie	D	4		
BVorOvrTos	1103060	Te vorderen overige subsidies	D	4		
BVorOvrTvr	1103070	Te vorderen rente lening	D	4		
BVorOvrTvo	1103080	Te vorderen overige rente	D	4		
BVorOvrVrb	1103090	Vooruitbetalingen	D	4		
BVorOvrVgk	1103100	Vorderingen op groepsmaatschappijen (kortlopend)	D	4		
BVorOvrVok	1103110	Vorderingen op overige verbonden maatschappijen (kortlopend)	D	4		
BVorOvrVpk	1103120	Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (kortlopend)	D	4		
BVorOvrVao	1103130	Van aandeelhouders opgevraagde stortingen	D	4		
BVorOvrRcb	1103140	Rekening-courant bestuurders	D	4		
BVorOvrVup	1103150	Vorderingen uit hoofde van pensioenen	D	4		
BVorOvrVub	1103160	Vorderingen uit hoofde van belastingen	D	4		
BVorOvrBlk	1103170	Latente belastingvorderingen (kortlopend)	D	4		
BVorOvrOvk	1103180	Overige vorderingen (kortlopend)	D	4		
BVorOvaVof	1104010	Vooruitbetaalde facturen	D	4		
BVorOvaVbs	1104020	Vooruitverzonden op bestellingen	D	4		
BVorOvaNtf	1104030	Nog te factureren of nog te verzenden facturen	D	4		
BVorOvaTor	1104040	Te ontvangen rente	D	4		
BVorOvaVbr	1104050	Vooruitbetaalde rente	D	4		
BVorOvaOoa	1104060	Overige overlopende activa	D	4		
BSchKolAlk	1201010	Achtergestelde leningen (kortlopend)	C	4		
BSchKolClk	1201020	Converteerbare leningen (kortlopend)	C	4		
BSchKolAok	1201030	Andere obligaties en onderhandse leningen (kortlopend)	C	4		
BSchKolFlk	1201040	Financiële lease verplichtingen (kortlopend)	C	4		
BSchKolOpl	1201050	Operationele lease verplichtingen (kortlopend)	C	4		
BSchKolHvk	1201060	Hypotheken van kredietinstellingen (kortlopend)	C	4		
BSchKolFvk	1201070	Financieringen van kredietinstellingen (kortlopend)	C	4		
BSchKolLvk	1201080	Leningen van kredietinstellingen (kortlopend)	C	4		
BSchSavSgk	1202010	Schulden aan groepsmaatschappijen (kortlopend)	C	4		
BSchSavSvk	1202020	Schulden aan overige verbonden maatschappijen (kortlopend)	C	4		
BSchSavSpk	1202030	Schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (kortlopend)	C	4		
BSchCreHac	1203010	Handelscrediteuren	C	4		
BSchCreHci	1203020	Handelscrediteuren intercompany	C	4		
BSchCreVbk	1203030	Vooruitontvangen op bestellingen	C	4		
BSchCreKcr	1203040	Kostencrediteuren	C	4		
BSchSalNet	1204010	Nettolonen	C	4		
BSchSalVpe	1204020	Voorschotten personeel	C	4		
BSchSalTan	1204030	Tantièmes	C	4		
BSchSalTvg	1204040	Te betalen vakantiebijslag	C	4		
BSchSalTbv	1204050	Reservering vakantiedagen	C	4		
BSchSalVab	1204060	Vakantiebonnen	C	4		
BSchSalBls	1204070	Bruto lonen en salarissen	C	4		
BSchSalPsv	1204080	Premies sociale verzekeringen	C	4		
BSchSalPen	1204090	Pensioenpremies	C	4		
BSchSalPer	1204100	Personeelsfonds	C	4		
BSchSalOna	1204110	Overige netto-afdrachten	C	4		
BSchBtwAtd	1205010	Af te dragen omzetbelasting	C	4		
BSchLheAfb	1206010	Af te dragen loonheffing	C	4		
BSchVpbAtv	1207010	Af te dragen vennootschapsbelasting	C	4		
BSchOvbBib	1208010	Binnenlandse belastingen	C	4		
BSchOvbBut	1208020	Buitenlandse belastingen	C	4		
BSchOvbPrb	1208030	Provinciale belastingen	C	4		
BSchOvbGbe	1208040	Gemeentelijke belastingen	C	4		
BSchOvsSaa	1209010	Schulden aan aandeelhouders	C	4		
BSchOvsRcb	1209020	Rekening-courant bestuurders	C	4		
BSchOvsRba	1209030	Rekening-courant bank	C	4		
BSchOvsSag	1209040	Overige schulden aan groepsmaatschappijen	C	4		
BSchOvsSao	1209050	Overige schulden aan overige verbonden maatschappijen	C	4		
BSchOvsSap	1209060	Overige schulden aan participanten en aan maatschappijen waarin wordt deelgenomen	C	4		
BSchOvsTbd	1209070	Te betalen dividend	C	4		
BSchOvsTbw	1209080	Te betalen wissels en cheques	C	4		
BSchOvsGif	1209090	Giftenverplichtingen	C	4		
BSchOvsSuv	1209100	Subsidieverplichtingen	C	4		
BSchOvsStp	1209110	Schulden terzake van pensioenen	C	4		
BSchOvsSuh	1209120	Schulden uit hoofde van projecten	C	4		
BSchOvsVvv	1209130	Verplichtingen uit hoofde van onroerende zaken verkocht onder voorwaarden	C	4		
BSchOvsVpo	1209140	Verplichtingen aan overheid	C	4		
BSchOvsOvs	1209150	Overige schulden	C	4		
BSchOpaNto	1210010	Nog te ontvangen facturen	C	4		
BSchOpaNtb	1210020	Nog te betalen kosten	C	4		
BSchOpaTbr	1210030	Te betalen rente	C	4		
BSchOpaVor	1210040	Vooruitontvangen rente	C	4		
BSchOpaOop	1210050	Overige overlopende passiva	C	4		
BVrdHanVoo	3001010	Voorraad handelsgoederen	D	4		
BVrdHanVic	3001020	Voorziening incourant handelsgoederen	C	4		
BVrdHanHvv	3001030	Herwaardering van voorraden handelsgoederen	C	4		
BVrdHanAwv	3001040	Afwaardering van voorraden handelsgoederen	C	4		
BVrdHanTve	3001050	Terugneming van een eerder verwerkte afwaardering handelsgoederen	D	4		
BVrdGehVoo	3002010	Voorraad grond- en hulpstoffen	D	4		
BVrdGehVic	3002020	Voorziening incourant grond- en hulpstoffen	C	4		
BVrdGehHvv	3002030	Herwaardering van voorraden grond- en hulpstoffen	C	4		
BVrdGehAwv	3002040	Afwaardering van voorraden grond- en hulpstoffen	C	4		
BVrdGehTve	3002050	Terugneming van een eerder verwerkte afwaardering grond- en hulpstoffen	D	4		
BVrdEmbVoo	3003010	Voorraad emballage	D	4		
BVrdEmbVic	3003020	Voorziening incourant emballage	C	4		
BVrdEmbHvv	3003030	Herwaardering van voorraden emballage	C	4		
BVrdEmbAwv	3003040	Afwaardering van voorraden emballage	C	4		
BVrdEmbTve	3003050	Terugneming van een eerder verwerkte afwaardering emballage	D	4		
BVrdVrvVoo	3004010	Vooruitbetalingen op voorraden	D	4		
BVrdVrvVic	3004020	Voorziening incourant vooruitbetaald op voorraden	C	4		
BVrdVrvHvv	3004030	Herwaardering van voorraden vooruitbetaald op voorraden	C	4		
BVrdVrvAwv	3004040	Afwaardering van voorraden vooruitbetaald op voorraden	C	4		
BVrdVrvTve	3004050	Terugneming van een eerder verwerkte afwaardering vooruitbetaald op voorraden	D	4		
BVrdOweVoo	3101010	Voorraad onderhanden werken	D	4		
BVrdOweGet	3101020	Gefactureerde termijnen onderhanden werken	C	4		
BVrdOweVzv	3101030	Voorziening verliezen onderhanden werken	C	4		
BVrdHalVoo	3102010	Voorraad halffabrikaten	D	4		
BVrdHalVic	3102020	Voorziening incourant halffabrikaten	C	4		
BVrdHalHvv	3102030	Herwaardering van voorraden halffabrikaten	C	4		
BVrdHalAwv	3102040	Afwaardering van voorraden halffabrikaten	C	4		
BVrdHalTve	3102050	Terugneming van een eerder verwerkte afwaardering halffabrikaten	D	4		
BVrdGepVoo	3103010	Voorraad gereed product	D	4		
BVrdGepVic	3103020	Voorziening incourant gereed product	C	4		
BVrdGepHvv	3103030	Herwaardering van voorraden gereed product	C	4		
BVrdGepAwv	3103040	Afwaardering van voorraden gereed product	C	4		
BVrdGepTve	3103050	Terugneming van een eerder verwerkte afwaardering gereed product	D	4		
BVrdVasVio	3104010	Vastgoed in ontwikkeling bestemd voor de verkoop vastgoed	D	4		
BVrdVasVbv	3104020	Vastgoed bestemd voor de verkoop vastgoed	D	4		
BProOnpOpo	3501010	"Onderhanden projecten in opdracht van derden, opbrengsten uit onderhanden projecten verwerkt in de winst-en-verliesrekening"	D	4		
BProOnpOpv	3501020	"Onderhanden projecten in opdracht van derden, voorschotten"	D	4		
BProOnpOpi	3501030	"Onderhanden projecten in opdracht van derden, inhoudingen op gedeclareerde termijnen"	D	4		
BProOnpOnk	3501040	"Onderhanden projecten in opdracht van derden, geactiveerde kosten voor nog niet geleverde diensten"	D	4		
BProOnpGet	3501050	Gefactureerde termijnen onderhanden projecten	C	4		
BProOnpVzv	3501060	Voorziening verliezen onderhanden projecten	C	4		
WPerLesSld	4001010	Bezoldiging van bestuurders en gewezen bestuurders	D	4		
WPerLesBvc	4001020	Bezoldiging van commissarissen en gewezen commissarissen	D	4		
WPerLesTep	4001030	Tantièmes en provisie	D	4		
WPerLesLon	4001040	Lonen	D	4		
WPerLesOwe	4001050	Overwerk	D	4		
WPerLesOnr	4001060	Onregelmatigheidstoeslag	D	4		
WPerLesVag	4001070	Vakantiebijslag	D	4		
WPerLesVad	4001080	Vakantiedagen	D	4		
WPerLesGra	4001090	Gratificaties	D	4		
WPerLesLin	4001100	Lonen in natura	D	4		
WPerLesTls	4001110	Eindheffing spaarloon	D	4		
WPerLesLoo	4001120	Loonkostenreductie	D	4		
WPerLesOvt	4001130	Overige toeslagen	D	4		
WPerLesOnu	4001140	Ontslaguitkeringen	D	4		
WPerLesLiv	4001150	Lasten in verband met aandelen(optie)regelingen	D	4		
WPerLesOlr	4001160	Overige lonen en salarissen	D	4		
WPerLesDle	4001990	Doorberekende lonen en salarissen	C	4		
WPerSolPsv	4002010	Premies sociale verzekeringen	C	4		
WPerSolBiz	4002020	Bijdrage ziektekostenverzekering	D	4		
WPerSolOpr	4002030	Overige premies	D	4		
WPerSolOsf	4002040	Overige sociale fondsen	D	4		
WPerSolOss	4002050	Overige sociale lasten	D	4		
WPerSolDsl	4002990	Doorberekende sociale lasten	C	4		
WPerPenPen	4003010	Pensioenpremies	C	4		
WPerPenDpe	4003020	Dotatie pensioenvoorziening directie	D	4		
WPerPenVpv	4003030	Vrijval pensioenvoorziening directie	C	4		
WPerPenDvb	4003040	Dotatie voorziening backserviceverplichting directie	D	4		
WPerPenVvb	4003050	Vrijval voorziening backserviceverplichting directie	C	4		
WPerPenDvl	4003060	Dotatie voorziening lijfrenteverplichtingen	D	4		
WPerPenVvl	4003070	Vrijval voorziening lijfrenteverplichtingen	C	4		
WPerPenOpe	4003080	Overige pensioenlasten	D	4		
WPerPenDon	4003990	Doorberekende pensioenlasten	C	4		
WPerWkfVtw	4004010	"Verteer werknemers (buiten werkplek, extern)"	D	4		
WPerWkfMow	4004020	Maaltijden op de werkplek	D	4		
WPerWkfVcn	4004030	Vaste vergoeding voor consumpties (niet-ambulante werknemer)	D	4		
WPerWkfRvn	4004040	Rentevoordeel personeelslening (niet eigen woning of (elektrische) fiets/elektrische scooter)	D	4		
WPerWkfHei	4004050	"Huisvesting en inwoning (incl energie,water, bewassing) niet ter vervulling dienstbetrekking"	D	4		
WPerWkfVmn	4004060	Vergoeding/verstrekking mobiele telefoon incl. abonnement (indien niet noodzakelijk)	D	4		
WPerWkfVtb	4004070	Vergoeding telefoonabonnementen/internetabonnementen bij werknemer thuis (indien niet noodzakelijk)	D	4		
WPerWkfVvt	4004080	Vergoeding/verstrekking van tablet (indien niet noodzakelijk)	D	4		
WPerWkfVlp	4004090	Vergoeding/verstrekking van laptop (indien niet noodzakelijk)	D	4		
WPerWkfVdt	4004100	Vergoeding/verstrekking van desktop (indien niet noodzakelijk)	D	4		
WPerWkfVcp	4004110	Vergoeding/verstrekking computerprogrammatuur (indien niet noodzakelijk)	D	4		
WPerWkfIwt	4004120	Inrichting werkplek thuis (exclusief arbovoorzieningen)	D	4		
WPerWkfVrh	4004130	"Vergoeding reiskosten voorzover boven € 0,19 per kilometer"	D	4		
WPerWkfVpb	4004140	Vergoeding van kosten van persoonlijke beschermingsmiddelen aan werknemer	D	4		
WPerWkfVww	4004150	Vergoeding van kosten van werkkleding die nagenoeg uitsluitend geschikt is om in te werken	D	4		
WPerWkfVka	4004160	Vergoeding van kosten van kleding die achterblijft op de werkplek	D	4		
WPerWkfVog	4004170	Verstrekking/vergoeding van overige kleding	D	4		
WPerWkfEho	4004180	Eerste huisvestingskosten (tot 18% van het loon)	D	4		
WPerWkfZve	4004190	Zakelijke verhuiskosten exclusief kosten overbrenging boedel (boven gerichte vrijstelling)	D	4		
WPerWkfPfe	4004200	Personeelsfeesten (buiten de werkplek)	D	4		
WPerWkfKrs	4004210	Kerstpakket aan personeel en postactieven	D	4		
WPerWkfGmi	4004220	Geschenken met in hoofzaak ideële waarde bij feestdagen en jubilea	D	4		
WPerWkfAgn	4004230	Andere geschenken in natura	D	4		
WPerWkfAgg	4004240	Andere geschenken in de vorm van een geldsom	D	4		
WPerWkfFie	4004250	Fietsvergoeding	D	4		
WPerWkfBbd	4004260	Bedrijfsfitness buiten de werkplek	D	4		
WPerWkfKpu	4004270	Producten uit eigen bedrijf en kortingen voor zover niet vrijgesteld	D	4		
WPerWkfWep	4004280	Werkgeversbijdrage personeelsvereniging	D	4		
WPerWkfVbp	4004290	Vergoeding werknemersbijdrage personeelsvereniging	D	4		
WPerWkfVev	4004300	Vergoeding vakbondscontributie	D	4		
WPerWkfPrz	4004310	Personeelsreizen	D	4		
WPerWkfPwn	4004320	"Parkeren bij werk (niet zijnde auto van de zaak) (geen eigen parkeerterrein, parkeervergunning)"	D	4		
WPerWkfPvn	4004330	"Parkeer-, veer- en tolgelden (niet zijnde auto van de zaak)"	D	4		
WPerWkfPev	4004340	Persoonlijke verzorging	D	4		
WPerWkfRaw	4004350	Representatievergoeding/relatiegeschenken aan werknemers	D	4		
WPerWkfEbd	4004360	Eigen bijdrage werknemers voor kinderopvang op werkplek (dagopvang)	D	4		
WPerWkfEbb	4004370	Eigen bijdrage werknemers voor kinderopvang op werkplek (bso)	D	4		
WPerWkfKbd	4004380	Kinderopvang buiten de werkplek (factuurwaarde incl. btw of WEV)	D	4		
WPerWkfEbw	4004390	Eigen bijdrage werknemers voor kinderopvang buiten de werkplek	D	4		
WPerWkfDkd	4004400	Door inhoudingsplichte verrichte kinderopvang op werkplek (dagopvang)	D	4		
WPerWkfDkb	4004410	Door inhoudingsplichte verrichte kinderopvang op werkplek (bso)	D	4		
WPerWkfOwr	4004420	Overige werkkosten vrije ruimte	D	4		
WPerWknVwo	4005010	Verteer werknemers op werkplek (geen maaltijden)	D	4		
WPerWknHit	4005020	"Huisvesting en inwoning (incl energie,water, bewassing) ter vervulling dienstbetrekking"	D	4		
WPerWknRve	4005030	Rentevoordeel personeelslening eigen woning en (elektrische) fiets of elektrische scooter	D	4		
WPerWknTbs	4005040	Ter beschikking stellen desktop computer op werkplek	D	4		
WPerWknIwe	4005050	Inrichting werkplek (niet thuis)	D	4		
WPerWknIwa	4005060	Inrichting werkplek arbo-voorzieningen (thuis)	D	4		
WPerWknPwp	4005070	Parkeren werkplek (niet zijnde auto van de zaak)(op parkeerterrein van werkgever)	D	4		
WPerWknTbg	4005080	Ter beschikking gestelde openbaarvervoerkaart/voordelenurenkaart (mede zakelijk gebruikt)	D	4		
WPerWknVbm	4005090	"Verstrekking van persoonlijke beschermingsmiddelen (veiligheidsbril, werkschoenen) door werkgever"	D	4		
WPerWknVwk	4005100	Verstrekking van werkkleding die nagenoeg uitsluitend geschikt is om in te werken door werkgever	D	4		
WPerWknVvk	4005110	Verstrekking van kleding die achterblijft op de werkplek	D	4		
WPerWknVkl	4005120	Verstrekking van kleding met bedrijfslogo van tenminste 70 cm²	D	4		
WPerWknArv	4005130	Arbovoorzieningen	D	4		
WPerWknPfw	4005140	Personeelsfeesten (op de werkplek)	D	4		
WPerWknBod	4005150	Bedrijfsfitness op de werkplek	D	4		
WPerWknOwn	4005160	Overige werkkosten nihilwaardering	D	4		
WPerWkgVro	4006010	"Vergoeding reiskosten (tot € 0,19) per kilometer"	D	4		
WPerWkgCem	4006020	Consumpties en maaltijden dienstreis	D	4		
WPerWkgMbo	4006030	Maaltijden bij overwerk/werk op koopavonden	D	4		
WPerWkgVca	4006040	Vaste vergoeding voor consumpties (ambulante werknemer)	D	4		
WPerWkgOsc	4006050	"Opleidingen, studies, cursussen, congressen, seminars, symposia, excursies, studiereizen"	D	4		
WPerWkgVak	4006060	Vakliteratuur	D	4		
WPerWkgIwr	4006070	Inschrijving wettelijk en door beroepsgroep opgelegde registers	D	4		
WPerWkgDuh	4006080	Dubbele huisvestingskosten	D	4		
WPerWkgEkl	4006090	Extra kosten levensonderhoud	D	4		
WPerWkgKap	4006100	"Kosten aanvragen/omzetten papieren (verblijfsvergunningen, visa, rijbewijzen) "	D	4		
WPerWkgKmk	4006110	"Kosten medische keuringen, vaccinaties"	D	4		
WPerWkgRnl	4006120	"Reiskosten naar land herkomst (familiebezoek, gezinshereniging)"	D	4		
WPerWkgCtw	4006130	Cursuskosten taal werkland (werknemer + gezin)	D	4		
WPerWkgEhb	4006140	Eerste huisvestingskosten (boven 18% van het loon)	D	4		
WPerWkgEtk	4006150	Extra (niet-zakelijke) telefoonkosten (gesprek) met land van herkomst	D	4		
WPerWkgOpb	4006160	Opslagkosten boedel	D	4		
WPerWkgKkw	4006170	Kosten kennismakingsreis werkland	D	4		
WPerWkgK3r	4006180	Kosten 30% regeling	D	4		
WPerWkgZvk	4006190	Zakelijke verhuiskosten: kosten overbrenging boedel	D	4		
WPerWkgZvo	4006200	Zakelijke verhuiskosten exclusief kosten overbrenging boedel	D	4		
WPerWkgOut	4006210	Outplacementkosten	D	4		
WPerWkgHow	4006220	(Hotel)overnachtingen in verband met werk	D	4		
WPerWkgVpr	4006230	Verstrekte producten en kortingen op producten uit eigen bedrijf (voor zover vrijgesteld)	D	4		
WPerWkgOwv	4006240	Overige werkkosten gericht vrijgesteld	D	4		
WPerWkcVmt	4007010	Vergoeding/verstrekking mobiele telefoon incl. abonnement (mits noodzakelijk)	D	4		
WPerWkcVtn	4007020	Vergoeding/verstrekking van tablet (mits noodzakelijk)	D	4		
WPerWkcVln	4007030	Vergoeding/verstrekking van laptop (mits noodzakelijk)	D	4		
WPerWkcVdn	4007040	Vergoeding/verstrekking van desktop (mits noodzakelijk)	D	4		
WPerWkcVcm	4007050	Vergoeding/verstrekking computerprogrammatuur (mits noodzakelijk)	D	4		
WPerWkcOwm	4007060	Overige werkkosten noodzakelijkheidscriterium	D	4		
WPerWkiMmz	4008010	Maaltijden met zakelijke relaties	D	4		
WPerWkiPva	4008020	"Parkeer-, veer- en tolgelden (auto van de zaak)"	D	4		
WPerWkiPwa	4008030	"Parkeren bij werk (auto van de zaak) (geen eigen parkeerterrein, parkeervergunning)"	D	4		
WPerWkiOwi	4008040	Overige werkkosten intermediair	D	4		
WPerWkbPga	4009010	Privé-gebruik auto's	D	4		
WPerWkbGed	4009020	Genot dienstwoning	D	4		
WPerWkbGbu	4009030	Geldboetes buitenlandse autoriteiten	D	4		
WPerWkbGbi	4009040	Geldboetes binnenlandse autoriteiten	D	4		
WPerWkbVzm	4009050	Vergoedingen en verstrekkingen ter zake van misdrijven	D	4		
WPerWkbVwm	4009060	Vergoedingen en verstrekkingen ter zake van wapens en munitie	D	4		
WPerWkbVdr	4009070	Vergoedingen en verstrekkingen ter zake van agressieve dieren	D	4		
WPerWkbOwb	4009080	Overige werkkosten belast loon	D	4		
WPerWkvFrb	4010010	"Fruitmand, rouwkrans, bloemetje"	D	4		
WPerWkvKgs	4010020	Kleine geschenken (geen geld of waardebon) maximaal € 25	D	4		
WPerWkvEub	4010030	Eenmalige uitkering/verstrekking bij 25/40-jarig diensttijdjubileum werknemer (voorzover =< 1 x maandloon)	D	4		
WPerWkvWpv	4010040	Werkgeversbijdrage personeelsvereniging (als werknemers geen aanspraak hebben op uitkeringen uit de pv)	D	4		
WPerWkvUtv	4010050	Uitkering/verstrekking tot vergoeding door werknemer ivm met werk gelden schade/verlies persoonlijke zaken	D	4		
WPerWkvEuo	4010060	"Eenmalige uitkering/verstrekking bij overlijden werknemer, zijn partner of kinderen (voorzover = < 3 x maandloon)"	D	4		
WPerWkvUue	4010070	Uitkering/verstrekking uit een personeelsfonds 	D	4		
WPerWkvMpi	4010080	Meewerkvergoeding partner inhoudingsplichtige (indien lager dan € 5.000)	D	4		
WPerWkvOwg	4010090	Overige werkkosten geen of vrijgesteld loon	D	4		
WPerWkoWee	4011010	Werkkosten eindheffing	D	4		
WPerWkoCiB	4011020	Correctie inzake BTW	C	4		
WPerWkoObw	4011030	Overboeking werkkosten	C	4		
WPerWkoDwk	4011990	Doorberekende werkkosten	C	4		
WPerOvpUik	4012010	Uitzendkrachten	D	4		
WPerOvpUit	4012020	Uitzendbedrijven	D	4		
WPerOvpMaf	4012030	Management fee	D	4		
WPerOvpOip	4012040	Overig ingeleend personeel	D	4		
WPerOvpWer	4012050	Wervingskosten	D	4		
WPerOvpAbd	4012060	Arbodienst	D	4		
WPerOvpDdd	4012070	Diensten door derden	D	4		
WPerOvpZie	4012080	Ziekengeldverzekering	D	4		
WPerOvpOzi	4012090	Ontvangen ziekengelden	D	4		
WPerOvpDvr	4012100	Dotatie voorziening in verband met reorganisaties	D	4		
WPerOvpVvr	4012110	Vrijval voorziening in verband met reorganisaties	C	4		
WPerOvpDoa	4012120	Dotatie arbeidsongeschiktheidsvoorziening	D	4		
WPerOvpDoj	4012130	Dotatie jubileumvoorziening	D	4		
WPerOvpVva	4012140	Vrijval arbeidsongeschiktheidsvoorziening	C	4		
WPerOvpVrj	4012150	Vrijval jubileumvoorziening	C	4		
WPerOvpObp	4012160	Overige belastingen inzake personeel	D	4		
WPerOvpOvp	4012170	Overige personeelskosten	D	4		
WPerOvpDop	4012990	Doorberekende overige personeelskosten	C	4		
WAfsAivOek	4101010	Afschrijving oprichtingskosten en kosten uitgifte van aandelen	D	4		
WAfsAivKoe	4101020	Afschrijving kosten onderzoek en ontwikkeling	D	4		
WAfsAivCev	4101030	Afschrijving concessies en vergunningen	D	4		
WAfsAivSof	4101040	Afschrijving software	D	4		
WAfsAivOie	4101050	Afschrijving overig intellectueel eigendom	D	4		
WAfsAivBou	4101060	Afschrijving bouwclaims	D	4		
WAfsAivGoo	4101070	Afschrijving goodwill	D	4		
WAfsAivGue	4101080	Afschrijving goodwill uit eerdere overnames	D	4		
WAfsAivViv	4101090	Afschrijving vooruitbetaalde immateriële vaste activa	D	4		
WAfsAivOiv	4101100	Afschrijving overige immateriële vaste activa	D	4		
WAfsAmvBeg	4102010	Afschrijving bedrijfsgebouwen	D	4		
WAfsAmvVeb	4102020	Afschrijving verbouwingen	D	4		
WAfsAmvVas	4102030	Afschrijving vastgoedbeleggingen	D	4		
WAfsAmvHuu	4102040	Afschrijving huurdersinvesteringen	D	4		
WAfsAmvMei	4102050	Afschrijving machines en installaties	D	4		
WAfsAmvSev	4102060	Afschrijving schepen en vliegtuigen	D	4		
WAfsAmvTev	4102070	Afschrijving transport- en vervoermiddelen	D	4		
WAfsAmvObe	4102080	Afschrijving overige vaste bedrijfsmiddelen	D	4		
WAfsAmvBei	4102090	Afschrijving bedrijfsinventaris	D	4		
WAfsAmvVbi	4102100	Afschrijving vaste bedrijfsmiddelen in uitvoering en vooruitbetaalde materiële vaste activa	D	4		
WAfsAmvBgm	4102110	Afschrijving buitengebruikgestelde materiële vaste activa	D	4		
WAfsAmvOmv	4102120	Afschrijving overige materiële vaste activa	D	4		
WAfsOwiOek	4103010	Overige waardeverandering oprichtingskosten en kosten uitgifte van aandelen	D	4		
WAfsOwiKoe	4103020	Overige waardeverandering kosten onderzoek en ontwikkeling	D	4		
WAfsOwiCev	4103030	Overige waardeverandering concessies en vergunningen	D	4		
WAfsOwiSof	4103040	Overige waardeverandering software	D	4		
WAfsOwiOie	4103050	Overige waardeverandering overig intellectueel eigendom	D	4		
WAfsOwiBou	4103060	Overige waardeverandering bouwclaims	D	4		
WAfsOwiGoo	4103070	Overige waardeverandering goodwill	D	4		
WAfsOwiGue	4103080	Overige waardeverandering goodwill uit eerdere overnames	D	4		
WAfsOwiViv	4103090	Overige waardeverandering vooruitbetaalde immateriële vaste activa	D	4		
WAfsOwiOiv	4103100	Overige waardeverandering overige immateriële vaste activa	D	4		
WAfsOwmBeg	4104010	Overige waardeverandering bedrijfsgebouwen	D	4		
WAfsOwmVeb	4104020	Overige waardeverandering verbouwingen	D	4		
WAfsOwmVas	4104030	Overige waardeverandering vastgoedbeleggingen	D	4		
WAfsOwmHuu	4104040	Overige waardeverandering huurdersinvesteringen	D	4		
WAfsOwmMei	4104050	Overige waardeverandering machines en installaties	D	4		
WAfsOwmSev	4104060	Overige waardeverandering schepen en vliegtuigen	D	4		
WAfsOwmTev	4104070	Overige waardeverandering transport- en vervoermiddelen	D	4		
WAfsOwmObe	4104080	Overige waardeverandering overige vaste bedrijfsmiddelen	D	4		
WAfsOwmBei	4104090	Overige waardeverandering bedrijfsinventaris	D	4		
WAfsOwmVbi	4104100	Overige waardeverandering vaste bedrijfsmiddelen in uitvoering en vooruitbetaalde materiële vaste activa	D	4		
